840526,1,1,1,1,1.0,5000.0,1.0
840526,5,87,1,5,5.0,5000.0,25.0
312720,45,45,45,45,45.0,60000.0,2025.0
312720,45,45,45,45,45.0,60000.0,2025.0
312720,1,1,1,3,6.0,60000.0,18.0
312720,1,1,1,3,6.0,60000.0,18.0
312720,1,1,1,5,6.0,60000.0,30.0
312720,1,1,1,5,6.0,60000.0,30.0
312720,1,5,1,5,6.0,60000.0,30.0
312720,1,5,1,5,6.0,60000.0,30.0
312720,45,45,45,455,45.0,60000.0,20475.0
312720,45,45,45,455,45.0,60000.0,20475.0
312720,45,45,45,4,45.0,60000.0,180.0
312720,45,45,45,4,45.0,60000.0,180.0
377578,5,87,1,3,30.0,400.0,100.8
43990,5,87,1,2,30.0,555.0,67.2
714189,1,1,1,1,1.0,5.0,1.12
492385,123,123,123,23,23.03,593.26,593.2528000000001
542554,123,123,123,22,3869.46,1000000.0,95343.4944
770111,123,123,123,5,3869.46,5000000.0,21668.976
702791,123,123,123,9,3869.46,545454.0,39004.1568
318862,123,123,123,45,3869.46,555555.0,195020.784
394506,123,123,123,50,5804.19,5.0E7,325034.64
